id,store_name,store_id,year,month,instance,directory,machine_no
1,Supercenter #2111,10,2013,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_02_2013.jpg,2
2,Supercenter #2111,10,2015,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_02_2015.jpg,1
3,Supercenter #2111,10,2018,4,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_04_2018.jpg,1
4,Supercenter #2111,10,2011,8,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_08_2011.jpg,1
5,Supercenter #2111,10,2019,8,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_08_2019.jpg,1
6,Supercenter #2111,10,2010,9,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_09_2010.jpg,2
7,Supercenter #2111,10,2011,9,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_09_2011.jpg,2
8,Supercenter #2111,10,2012,9,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_09_2012.jpg,1
9,Supercenter #2111,10,2016,10,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_10_2016.jpg,2
10,Supercenter #2111,10,2013,12,0,C:\Users\paperspace\Documents\02 Imagery Collection\0010_Supercenter #2111\0010_12_2013.jpg,2
11,Supercenter #670,11,2017,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_02_2017.jpg,1
12,Supercenter #670,11,2019,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_02_2019.jpg,1
13,Supercenter #670,11,2012,6,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_06_2012.jpg,2
14,Supercenter #670,11,2010,9,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_09_2010.jpg,2
15,Supercenter #670,11,2011,9,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_09_2011.jpg,1
16,Supercenter #670,11,2015,10,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_10_2015.jpg,1
17,Supercenter #670,11,2013,11,0,C:\Users\paperspace\Documents\02 Imagery Collection\0011_Supercenter #670\0011_11_2013.jpg,2
18,Supercenter #7280,12,2017,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0012_Supercenter #7280\0012_02_2017.jpg,1
19,Supercenter #7280,12,2019,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0012_Supercenter #7280\0012_02_2019.jpg,2
20,Supercenter #7280,12,2015,10,0,C:\Users\paperspace\Documents\02 Imagery Collection\0012_Supercenter #7280\0012_10_2015.jpg,1
21,Neighborhood Market #2488,13,2017,2,0,C:\Users\paperspace\Documents\02 Imagery Collection\0013_Neighborhood Market #2488\0013_02_2017.jpg,2
